0:0:0:0:0:0:0:1 - - [11/May/2015:20:24:24 +0800] "GET /JavaWebProject/images/main_52.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:20:24:24 +0800] "GET /JavaWebProject/images/main_51.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:20:24:24 +0800] "GET /JavaWebProject/images/main_40.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:20:24:24 +0800] "GET /JavaWebProject/images/main_47.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:20:24:30 +0800] "GET /JavaWebProject/images/main_55_1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:20:24:41 +0800] "GET /JavaWebProject/index.jsp HTTP/1.1" 200 1677
0:0:0:0:0:0:0:1 - - [11/May/2015:20:24:41 +0800] "GET /JavaWebProject/desk.jsp HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [11/May/2015:20:25:13 +0800] "GET /JavaWebProject/login/login_view.action HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [11/May/2015:20:26:23 +0800] "POST /JavaWebProject/login/login_CheckLogin.action HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [11/May/2015:20:26:23 +0800] "GET /JavaWebProject/top.jsp HTTP/1.1" 200 5829
0:0:0:0:0:0:0:1 - - [11/May/2015:20:26:23 +0800] "GET /JavaWebProject/left.jsp HTTP/1.1" 200 18456
0:0:0:0:0:0:0:1 - - [11/May/2015:20:26:23 +0800] "GET /JavaWebProject/desk.jsp HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [11/May/2015:20:40:16 +0800] "GET /JavaWebProject/index.jsp HTTP/1.1" 200 1677
0:0:0:0:0:0:0:1 - - [11/May/2015:20:40:16 +0800] "GET /JavaWebProject/desk.jsp HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [11/May/2015:20:41:44 +0800] "GET /JavaWebProject/login/login_view.action HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [11/May/2015:20:41:48 +0800] "POST /JavaWebProject/login/login_CheckLogin.action HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [11/May/2015:20:41:48 +0800] "GET /JavaWebProject/top.jsp HTTP/1.1" 200 5829
0:0:0:0:0:0:0:1 - - [11/May/2015:20:41:48 +0800] "GET /JavaWebProject/desk.jsp HTTP/1.1" 200 799
